mtx_name                                 mm_time(ms)
piston                                   3.6408
ford1                                    2.8815
c-41                                     5.4738
mhd4800a                                 2.9194
cz10228                                  3.2021
shuttle_eddy_id_763                      3.2958
shuttle_eddy_id_881                      2.0463
wiki-Vote                                6.2009
nasa4704_id_760                          3.9906
nasa4704_id_365                          4.7341
crystm01                                 3.7800
rajat09                                  1.6919
as-caida                                 35.2549
mark3jac040sc                            3.3070
mark3jac040                              3.3120
barth5_id_867                            1.7387
g7jac040                                 2.9986
g7jac040sc                               3.1740
vsp_p0291_seymourl_iiasa                 6.4135
windtunnel_evap2d                        4.5568
bloweybl                                 61.4231
c-42                                     9.2003
vsp_data_and_seymourl                    7.3247
jan99jac060sc                            3.2710
jan99jac060                              3.2825
CurlCurl_0                               2.8112
cvxqp3                                   3.8180
de2010                                   2.4379
c-39                                     7.6407
bcsstk15                                 3.4161
foldoc                                   4.2800
bodyy4                                   1.9702
c-43                                     20.5943
hi2010                                   3.1825
vsp_c-30_data_data                       13.1863
indianpines_10NN                         3.8713
aft01                                    2.2852
ri2010                                   3.7748
aug3dcqp                                 3.0600
bodyy5                                   2.6690
rajat10                                  2.0064
raefsky6                                 2.9656
c-46                                     24.0240
igbt3                                    3.5678
JapaneseVowelsSmall_10NN                 4.1071
cavity23                                 4.2926
cavity25                                 3.4593
cavity17                                 3.9072
cavity21                                 3.2943
cavity19                                 3.6352
Wordnet3                                 5.4489
bodyy6                                   2.5648
mycielskian11                            5.9091
ACTIVSg10K                               2.7849
cavity16                                 3.7137
cavity26                                 3.9213
cavity24                                 3.7326
cavity22                                 3.7245
cavity20                                 3.2949
cavity18                                 3.2182
rail_20209                               3.0069
cca                                      1.9588
stokes64s                                3.7960
stokes64                                 3.6033
OPF_3754                                 3.0687
shock-9                                  1.9122
ted_B_unscaled                           3.1742
ted_B                                    4.5446
juba40k                                  3.3300
bauru5727                                4.7643
shermanACb                               6.8711
g7jac050sc                               4.4364
mnist_test_norm_10NN                     4.6509
ccc                                      2.2827
p2p-Gnutella31                           3.9959
case9                                    44.5495
TSOPF_FS_b9_c6                           43.7480
bcsstk18                                 3.4720
hangGlider_4                             133.2352
pds10                                    4.2924
bloweya                                  73.6022
cage10                                   4.0541
wing_nodal                               3.5406
jan99jac080                              4.9357
jan99jac080sc                            4.1604
har_10NN                                 5.4569
lhr07                                    3.6223
hangGlider_5                             147.2015
vt2010                                   2.9456
lhr07c                                   3.6373
kmnist_norm_10NN                         6.0539
c-49                                     7.5300
Fashion_MNIST_norm_10NN                  5.1656
hvdc1                                    4.4916
bcsstk24                                 5.0987
lock3491                                 2.6579
mark3jac060sc                            3.4420
mark3jac060                              3.5098
lowThrust_4                              36.6483
c-48                                     7.8481
Zhao2                                    3.2583
Zhao1                                    3.1509
raefsky5                                 3.1373
Muu                                      3.6338
SiH4                                     7.0898
bratu3d                                  3.7475
nasa2910_id_364                          3.5106
nasa2910_id_759                          4.1611
c-45                                     30.3837
epb2                                     3.5054
t2dah_e                                  4.0087
t2dah_a                                  3.1194
t2dah                                    2.9640
wang3                                    3.3456
wang4                                    3.7939
dictionary28                             4.3025
t60k                                     4.1621
brainpc2                                 118.5487
c-50                                     15.0182
Goodwin_023                              3.9394
g7jac060                                 4.3009
g7jac060sc                               4.1323
ca-CondMat                               7.6383
wiki-RfA                                 8.9175
jan99jac100                              4.2725
jan99jac100sc                            4.7392
Ill_Stokes                               5.0414
mult_dcop_03                             423.6953
mult_dcop_02                             422.4128
mult_dcop_01                             419.1903
rajat22                                  34.6450
CAG_mat1916                              4.8513
vsp_befref_fxm_2_4_air02                 40.6979
skirt_id_764                             2.5579
skirt_id_882                             2.8881
delaunay_n15                             3.4684
bfly                                     2.8947
torsion1                                 4.6348
obstclae                                 5.4123
lowThrust_5                              41.1464
SiNa                                     6.5279
jnlbrng1                                 3.0880
chem_master1                             3.0914
c-52                                     10.7729
c-51                                     12.1876
vsp_barth5_1Ksep_50in_5Kout              4.5402
minsurfo                                 2.9220
mario001                                 3.2595
TSOPF_RS_b162_c1                         3.7018
cz20468                                  3.3979
2D_27628_bjtcai                          4.5388
s3rmt3m3                                 3.6457
internet                                 5.1464
coater2                                  4.5710
lowThrust_6                              40.9400
g3rmt3m3                                 2.6009
copter1                                  5.1767
c-47                                     18.7741
lowThrust_7                              40.6199
mark3jac080sc                            4.2174
mark3jac080                              3.9484
lowThrust_8                              41.2552
ak2010                                   5.3092
s1rmt3m1                                 3.2387
s3rmt3m1                                 3.7007
s2rmt3m1                                 3.2015
