mtx_name                                 mm_time(ms)
cant                                     32.3705
pwtk                                     47.5404
offshore                                 41.9517
cage12                                   32.1176
scircuit                                 14.5112
wiki-Vote                                6.9918
poisson3Da                               10.6143
pdb1HYS                                  39.0580
rma10                                    20.3129
shipsec1                                 42.7303
consph                                   41.8530
filter3D                                 35.6753
mac_econ_fwd500                          18.4748
af_shell10                               184.2347
hood                                     48.4402
case39                                   268.9657
gupta3                                   958.6333
TSOPF_FS_b300_c2                         1431.8617
com-LiveJournal                          FAIL
wikipedia-20070206                       FAIL
